Type,date,time,latitude,longitude,photo,site_id,species ,number,Survey
survey,12/08/2014,6:50:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,0,0
survey,12/08/2014,6:50:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,0,0
survey,16/08/2014,6:45,-35.304068,149.161733,n,Molonglo_R,Platypus,0,0
survey,16/08/2014,6:45,-35.304068,149.161733,n,Molonglo_R,Rakali,1,0
survey,26/08/2014,8:00:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,3,0
survey,26/08/2014,8:00:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,1,0
survey,28/08/2014,8:00,-35.304068,149.161733,n,Molonglo_R,Platypus,1,0
survey,28/08/2014,8:00,-35.304068,149.161733,n,Molonglo_R,Rakali,0,0
survey,07/09/2014,17:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,2,0
survey,07/09/2014,17:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,04/08/2015,8:00:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,4,0
survey,04/08/2015,8:00:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,1,0
survey,15/08/2015,9:05:00,-35.881846,149.134145,n,Scottsdale ,Platypus,1,0
survey,15/08/2015,9:05:00,-35.881846,149.134145,n,Scottsdale ,Rakali,0,0
survey,29/08/2015,8:30:00,-36.22885,149.12001,n,Cooma_Ck,Platypus,2,0
survey,29/08/2015,8:30:00,-36.22885,149.12001,n,Cooma_Ck,Rakali,0,0
survey,30/08/2015,8:30:00,-36.16693,149.09431,n,Mittagang_Crossing ,Platypus,1,0
survey,30/08/2015,8:30:00,-36.16693,149.09431,n,Mittagang_Crossing ,Rakali ,0,0
survey,01/09/2015,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,2,0
survey,01/09/2015,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,2,0
survey,01/09/2015,7:30,-35.304068,149.161733,n,Molonglo_R,Platypus,2,0
survey,01/09/2015,7:30,-35.304068,149.161733,n,Molonglo_R,Rakali,4,0
survey,02/09/2015,7:30:00,-35.505095,149.068401,n,Tharwa,Platypus,0,0
survey,02/09/2015,7:30:00,-35.505095,149.068401,n,Tharwa,Rakali,0,0
survey,05/09/2015,8:25:00,-36.22885,149.12001,n,Cooma_Ck,Platypus,1,0
survey,05/09/2015,8:25:00,-36.22885,149.12001,n,Cooma_Ck,Rakali,0,0
survey,06/09/2015,8:30:00,-36.15543,149.31975,n,Numarella_R,Platypus,0,0
survey,06/09/2015,8:30:00,-36.15543,149.31975,n,Numarella_R,Rakali,0,0
survey,12/09/2015,8:25:00,-36.16693,149.09431,n,Mittagang_Crossing ,Platypus,0,0
survey,12/09/2015,8:25:00,-36.16693,149.09431,n,Mittagang_Crossing ,Rakali ,0,0
survey,13/09/2015,8:40:00,-36.15543,149.31975,n,Numarella_R,Platypus,1,0
survey,13/09/2015,8:40:00,-36.15543,149.31975,n,Numarella_R,Rakali,0,0
survey,03/08/2016,7:45:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,0,0
survey,03/08/2016,7:45:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,1,0
survey,03/08/2016,7:45,-35.304068,149.161733,n,Molonglo_R,Platypus,4,0
survey,03/08/2016,7:45,-35.304068,149.161733,n,Molonglo_R,Rakali,1,0
survey,04/08/2016,7:35:00,-35.505095,149.068401,n,Tharwa,Platypus,0,0
survey,04/08/2016,7:35:00,-35.505095,149.068401,n,Tharwa,Rakali,0,0
survey,22/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,22/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,22/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,2,0
survey,22/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,23/08/2016,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,1,0
survey,23/08/2016,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,1,0
survey,23/08/2016,7:30,-35.304068,149.161733,n,Molonglo_R,Platypus,2,0
survey,23/08/2016,7:30,-35.304068,149.161733,n,Molonglo_R,Rakali,1,0
survey,23/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,23/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,23/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,23/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Rakali,0,0
survey,24/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,2,0
survey,24/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,24/08/2016,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,24/08/2016,16:30:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,25/08/2016,7:10:00,-35.505095,149.068401,n,Tharwa,Platypus,0,0
survey,25/08/2016,7:10:00,-35.505095,149.068401,n,Tharwa,Rakali,0,0
survey,04/08/2017,7:40:00,-35.451913,149.074748,n,Point_Hut_Crossing ,Platypus,2,0
survey,04/08/2017,7:40:00,-35.451913,149.074748,n,Point_Hut_Crossing ,Rakali ,1,0
survey,08/08/2017,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,1,0
survey,08/08/2017,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,1,0
survey,08/08/2017,7:30,-35.304068,149.161733,n,Molonglo_R,Platypus,0,0
survey,08/08/2017,7:30,-35.304068,149.161733,n,Molonglo_R,Rakali,0,0
survey,12/08/2017,8:15:00,-36.16693,149.09431,n,Mittagang_Crossing ,Platypus,0,0
survey,12/08/2017,8:15:00,-36.16693,149.09431,n,Mittagang_Crossing ,Rakali ,1,0
survey,13/08/2017,8:00:00,-36.15543,149.31975,n,Numarella_R,Platypus,0,0
survey,13/08/2017,8:00:00,-36.15543,149.31975,n,Numarella_R,Rakali,0,0
survey,19/08/2017,8:00:00,-36.22885,149.12001,n,Cooma_Ck,Platypus,1,0
survey,19/08/2017,8:00:00,-36.22885,149.12001,n,Cooma_Ck,Rakali,3,0
survey,20/08/2017,8:00:00,-36.16693,149.09431,n,Mittagang_Crossing ,Platypus,0,0
survey,20/08/2017,8:00:00,-36.16693,149.09431,n,Mittagang_Crossing ,Rakali ,2,0
survey,26/08/2017,8:00:00,-36.15543,149.31975,n,Numarella_R,Platypus,0,0
survey,26/08/2017,8:00:00,-36.15543,149.31975,n,Numarella_R,Rakali,0,0
survey,27/08/2017,8:00:00,-36.22885,149.12001,n,Cooma_Ck,Platypus,0,0
survey,27/08/2017,8:00:00,-36.22885,149.12001,n,Cooma_Ck,Rakali,0,0
survey,28/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,3,0
survey,28/08/2017,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,4,0
survey,28/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,0,0
survey,28/08/2017,16:30:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,29/08/2017,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Platypus,3,0
survey,29/08/2017,7:30:00,-35.314735,149.159401,n,Jerrabomberra_CK,Rakali,2,0
survey,29/08/2017,7:30,-35.304068,149.161733,n,Molonglo_R,Platypus,3,0
survey,29/08/2017,7:30,-35.304068,149.161733,n,Molonglo_R,Rakali,1,0
survey,29/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,2,0
survey,29/08/2017,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,2,0
survey,29/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,2,0
survey,29/08/2017,16:30:00,-35.881846,149.134145,n,Scottsdale ,Rakali,1,0
survey,30/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Platypus,3,0
survey,30/08/2017,16:30:00,-35.881846,149.134145,n,Scottsdale ,Platypus,1,0
survey,30/08/2017,8:00:00,-35.881846,149.134145,n,Scottsdale ,Rakali,2,0
